latitude,longitude,temperature,salinity,turbidity,time,ts,depth
21.26558876,-157.8670807,23.41231728,33.91962051,6.22E-29,2019-02-18 00:00:00 HST,1550484000,0.25
21.26528168,-157.8667297,23.41071129,33.91833496,2.64E-29,2019-02-18 00:00:00 HST,1550484000,0.25
21.26497459,-157.8663788,23.41101265,33.91878891,1.06E-29,2019-02-18 00:00:00 HST,1550484000,0.25
21.26466751,-157.8660278,23.41172791,33.92113876,3.65E-30,2019-02-18 00:00:00 HST,1550484000,0.25
21.26436043,-157.8656769,23.41030121,33.92242813,1.23E-30,2019-02-18 00:00:00 HST,1550484000,0.25
21.26405334,-157.8653107,23.40818024,33.92205048,3.17E-31,2019-02-18 00:00:00 HST,1550484000,0.25
21.26374435,-157.8649597,23.40718651,33.92362595,7.78E-32,2019-02-18 00:00:00 HST,1550484000,0.25
21.26343727,-157.8646088,23.40531158,33.92339325,1.65E-32,2019-02-18 00:00:00 HST,1550484000,0.25
21.26313019,-157.8642578,23.40420151,33.92538071,6.79E-33,2019-02-18 00:00:00 HST,1550484000,0.25
21.2628231,-157.8639069,23.40161896,33.92407608,1.75E-33,2019-02-18 00:00:00 HST,1550484000,0.25
21.26251602,-157.8635559,23.39812279,33.91963577,4.01E-34,2019-02-18 00:00:00 HST,1550484000,0.25
21.26220894,-157.8631897,23.3972168,33.91897583,1.36E-35,2019-02-18 00:00:00 HST,1550484000,0.25
21.26190186,-157.8628387,23.39808273,33.92296982,1.13E-36,2019-02-18 00:00:00 HST,1550484000,0.25
21.26159286,-157.8624878,23.39774895,33.92517471,1.03E-37,2019-02-18 00:00:00 HST,1550484000,0.25
21.26128578,-157.8621368,23.3959446,33.92441559,6.68E-38,2019-02-18 00:00:00 HST,1550484000,0.25
21.2609787,-157.8617859,23.39430809,33.9237175,2.23E-38,2019-02-18 00:00:00 HST,1550484000,0.25
21.26067162,-157.8614197,23.39379883,33.92523956,1.00E-38,2019-02-18 00:00:00 HST,1550484000,0.25
21.26036453,-157.8610687,23.39370918,33.92753983,3.40E-39,2019-02-18 00:00:00 HST,1550484000,0.25
